ticker,market_date,price,open,high,low,volume,change
ETH,7/2/2020,226.42,230.96,232.04,223.53,7.28M,-1.96%
ETH,7/1/2020,230.95,225.61,232.47,224.33,6.31M,2.36%
ETH,6/30/2020,225.63,227.88,228.57,223.23,5.60M,-0.99%
ETH,6/29/2020,227.87,225.09,229.83,221.6,6.80M,1.24%
ETH,6/28/2020,225.09,221.07,227.74,218.46,5.91M,1.82%
ETH,6/27/2020,221.06,229.72,231.3,217.11,7.21M,-3.75%
ETH,6/26/2020,229.67,232.57,233.5,228.16,6.96M,-1.24%
ETH,6/25/2020,232.56,234.75,235.29,227.99,6.48M,-0.93%
ETH,6/24/2020,234.75,243.2,249.23,231.56,9.13M,-3.47%
ETH,6/23/2020,243.2,243.24,244.77,240.94,5.16M,-0.02%
ETH,6/22/2020,243.25,228.11,246.39,227.69,7.93M,6.63%
ETH,6/21/2020,228.13,228.87,231.18,227.38,4.10M,-0.32%
ETH,6/20/2020,228.86,229.11,230.96,226.28,4.54M,-0.11%
ETH,6/19/2020,229.11,231.34,231.94,226.97,5.56M,-0.97%
ETH,6/18/2020,231.34,233.85,234.69,228.13,4.96M,-1.09%
ETH,6/17/2020,233.88,235.37,236.55,228.63,5.94M,-0.63%
ETH,6/16/2020,235.36,230.92,235.95,228.99,7.03M,1.92%
ETH,6/15/2020,230.93,231.99,233.34,219.06,10.18M,-0.47%
ETH,6/14/2020,232.02,238.23,238.48,230.52,5.78M,-2.60%
ETH,6/13/2020,238.22,237.55,238.61,234.86,5.27M,0.29%
ETH,6/12/2020,237.54,230.72,239.23,228.62,7.34M,2.96%
ETH,6/11/2020,230.71,247.79,249.77,227.01,12.40M,-6.89%
ETH,6/10/2020,247.78,243.82,249.51,242.54,7.63M,1.62%
ETH,6/9/2020,243.82,246.19,249.45,240.18,6.86M,-0.96%
ETH,6/8/2020,246.18,244.56,247.11,241.3,6.55M,0.66%
ETH,6/7/2020,244.56,242,244.94,235.44,8.10M,1.06%
ETH,6/6/2020,242,240.27,244.43,238.38,6.62M,0.73%
ETH,6/5/2020,240.23,243.37,247.5,239.7,7.75M,-1.29%
ETH,6/4/2020,243.37,244.53,246.41,236.68,8.75M,-0.47%
ETH,6/3/2020,244.52,237.9,244.76,233.84,8.15M,2.77%
ETH,6/2/2020,237.94,248.01,253.21,227.95,12.69M,-4.05%
ETH,6/1/2020,247.97,231.8,249.81,230.85,11.97M,6.97%
ETH,5/31/2020,231.81,243.63,245.33,230.31,12.43M,-4.85%
ETH,5/30/2020,243.63,220.66,246.55,218.86,14.34M,10.41%
ETH,5/29/2020,220.66,220.14,224.52,217.84,12.36M,0.21%
ETH,5/28/2020,220.18,208.2,220.33,204.79,12.51M,5.77%
ETH,5/27/2020,208.18,200.99,208.18,200.85,10.28M,3.57%
ETH,5/26/2020,201,204.13,204.9,197.3,10.44M,-1.53%
ETH,5/25/2020,204.13,199.99,205.52,198.57,10.63M,2.08%
ETH,5/24/2020,199.97,206.65,210.4,199.97,11.89M,-3.22%
ETH,5/23/2020,206.62,207.35,211.03,204.97,9.91M,-0.35%
ETH,5/22/2020,207.35,198.75,209.04,196.68,12.13M,4.33%
ETH,5/21/2020,198.75,210,211.58,192.11,14.36M,-5.35%
ETH,5/20/2020,209.99,214.52,215.28,207.03,12.19M,-2.11%
ETH,5/19/2020,214.51,214.88,215.75,209.79,13.96M,-0.17%
ETH,5/18/2020,214.87,207,217,207,17.73M,3.80%
ETH,5/17/2020,207,200.51,209.79,199.77,15.78M,3.23%
ETH,5/16/2020,200.51,194.85,203.12,193.48,15.52M,2.91%
ETH,5/15/2020,194.85,203.29,204.02,192.61,16.62M,-4.15%
ETH,5/14/2020,203.3,199.58,205.82,196.21,20.75M,1.86%
ETH,5/13/2020,199.58,189.82,200.82,188.59,17.47M,5.13%
ETH,5/12/2020,189.84,185.82,192.04,185.68,15.58M,2.09%
ETH,5/11/2020,185.96,187.77,193.26,177.43,26.74M,-0.97%
ETH,5/10/2020,187.78,210.19,210.19,180.7,35.98M,-10.68%
ETH,5/9/2020,210.22,211.47,214.5,208.83,20.90M,-0.58%
ETH,5/8/2020,211.45,212,216.44,207.25,23.08M,-0.26%
ETH,5/7/2020,212,199.05,214,197.36,26.71M,6.51%
ETH,5/6/2020,199.04,205.36,210.62,198.79,24.03M,-3.08%
ETH,5/5/2020,205.36,206.59,211.33,201.75,21.05M,-0.61%
ETH,5/4/2020,206.61,209.85,210.63,195.25,27.21M,-1.53%
ETH,5/3/2020,209.83,213.96,218.74,205.5,23.12M,-1.93%
ETH,5/2/2020,213.96,212,215.15,210.51,18.31M,0.92%
ETH,5/1/2020,212,206.23,216.99,206.06,23.08M,2.80%
ETH,4/30/2020,206.22,215.42,227.05,202.59,35.46M,-4.26%
ETH,4/29/2020,215.4,196.55,218.32,196.45,32.87M,9.59%
ETH,4/28/2020,196.55,196.13,197.51,192.47,21.81M,0.21%
ETH,4/27/2020,196.14,197.35,198.8,190.87,23.33M,-0.61%
ETH,4/26/2020,197.35,194.01,199.3,192.52,23.13M,1.72%
ETH,4/25/2020,194.01,187.57,197.35,186.03,21.87M,3.43%
ETH,4/24/2020,187.58,185.48,189.33,185.19,19.84M,1.14%
ETH,4/23/2020,185.46,182.72,192.4,178.54,28.73M,1.50%
ETH,4/22/2020,182.72,170.79,183.71,169.93,23.81M,6.99%
ETH,4/21/2020,170.79,170.37,174.48,168.31,23.63M,0.23%
ETH,4/20/2020,170.4,180.12,186.24,167.51,33.68M,-5.40%
ETH,4/19/2020,180.13,187.47,188.23,177.24,23.27M,-3.90%
